,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
7687,dimon880018,15.84,2210,18.6,35.84,1.61,34.75
7747,dipastino,-4.65,584,17.15,-39.81,4.92,59.6
7752,Directive4,14.16,2865,15.08,24.89,1.11,36.56
7754,Direktor35x,10.23,563,10.91,90.85,2.06,44.05
7800,Dizatex,-8.27,859,15.67,-48.14,1.88,43.65
7827,Djek300,22.59,13541,17.53,8.34,1.4,34.34
7832,Djhersey,-4.53,1366,16.94,-16.58,1.44,33.11
7838,djkofi,2.14,7405,10.85,1.44,2.56,42.29
7905,Dmcpp1998,23.63,7636,17.56,15.47,3.3,47.47
7906,dmcrbr,44.05,17165,6.06,12.83,1.12,24.59
7909,DMF 211,7.91,1726,19.21,22.91,0.97,28.48
7919,Dmitrij Dmitrov,-0.62,1877,17.09,-1.65,2.81,53.94
7921,dmitriy sakh,-2.65,813,12.38,-16.3,2.3,35.66
7958,doantuu,2.37,2464,11.66,4.81,6.38,50.58
7965,Doberman6988,26.63,11984,9.21,11.11,2.48,38.86
7974,Dobroeutr0,19.87,3839,16.58,25.88,1.26,36.85
7979,doc-aka,21.68,7519,12.27,14.42,2.03,42.61
7992,docthedoc66,11.15,9509,18.9,5.86,0.97,24.44
7993,doctor-mex 07,6.68,1976,16.6,16.9,1.27,38.06
8016,DOG FOOOD,3.7,542,12.99,34.13,1.92,25.27
8077,don quijo629,9.43,1159,15.25,40.68,1.28,34.66
8093,Donenko345,7.83,21689,10.95,1.81,1.89,37.91
8106,donkHype,-5.36,574,14.89,-46.69,2.7,50.63
8117,donramon9,14.24,21851,16.73,3.26,1.06,30.77
8154,Dorex2007,7.01,21154,15.0,1.66,3.03,49.55
8217,Dr Endgame,5.26,770,19.66,34.16,1.73,40.72
8268,Dragut-Reis,7.6,1173,19.61,29.24,1.72,32.85
8341,droctagon101,4.73,7777,9.02,3.04,1.47,35.94
8349,dronf333,-7.19,2670,9.01,-13.46,4.46,37.66
8393,DSilver,13.82,1995,14.93,34.64,1.79,38.29
8462,DuLdOmeTr,-0.32,503,14.14,-3.18,2.59,59.71
8556,Dyx76,-8.98,1433,17.19,-31.33,1.4,37.4
8587,E.Nazyrov,16.96,5697,10.17,14.89,2.67,38.09
8606,eagles_nest9,-5.34,1006,16.45,-26.54,1.36,36.53
8632,Ebisu 64,-12.11,4740,18.27,-12.77,2.3,43.37
8634,Ebleco,20.94,7408,10.52,14.13,2.32,38.28
8656,ED_CULLEN666,3.29,593,9.97,27.74,3.33,41.24
8676,Edek07,-9.42,4661,8.63,-10.11,3.53,48.27
8711,edoschenko,6.74,2646,17.37,12.74,1.77,34.87
8713,edpoker2020,-24.65,2527,14.09,-48.77,2.23,44.93
8779,Efi210,-0.33,777,19.95,-2.12,1.05,34.52
8855,ejp99,-0.91,1008,16.19,-4.51,3.02,56.5
8867,Ekshli,-6.54,652,19.57,-50.15,2.65,52.78
8880,El Manske,13.9,1631,16.95,42.61,2.95,36.69
8886,El'Sikora,-1.77,1634,19.41,-5.42,4.22,51.46
