,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
291,1B@dFrog,-1.76,22,68.18,-400.0,0.13,7.14
292,1Bid.com.br,2.36,114,48.67,103.51,0.69,26.67
293,1BOBA1,0.08,9,33.33,44.44,,66.67
294,1bruno79,-2.0,7,100.0,-1428.57,1.75,50.0
295,1brunokutya,-0.24,18,44.44,-66.67,2.0,37.5
296,1butterflieSS,-15.85,184,75.27,-430.71,2.82,59.35
297,1cBounty,-0.71,237,14.89,-14.98,1.52,48.48
298,1D3MS,-1.73,751,50.47,-11.52,1.93,33.84
299,1dajax,4.31,307,38.82,70.2,2.22,46.71
300,1dimitris1,-1.2,217,66.67,-27.65,1.35,36.32
301,1Dr.OZ,-1.04,235,49.15,-22.13,2.08,48.47
302,1DUXA1,1.09,23,65.22,236.96,0.78,33.33
303,1gobsek,1.28,210,23.08,30.48,2.06,46.48
304,1grp,1.91,43,41.86,222.09,0.44,21.05
305,1hisoka44,0.83,2344,34.38,1.77,2.93,44.34
306,1jorik1,1.8,1011,21.8,8.9,2.54,52.94
307,1kakaiiika2,3.75,150,60.67,125.0,4.28,59.69
308,1KhmerRouge,-9.76,254,30.95,-192.13,2.0,48.78
309,1king_of_acces1,0.27,9,11.11,150.0,0.0,0.0
310,1kingzilla3,-0.91,8,50.0,-568.75,,50.0
311,1Kriss1,-3.62,80,41.56,-226.25,2.5,51.28
312,1luckyrosebud,-34.52,1160,58.1,-148.79,1.16,41.77
313,1maggway,-0.29,206,70.59,-7.04,0.88,31.88
314,1maslin,0.88,5,80.0,880.0,0.0,0.0
315,1matodor$,0.87,94,12.77,46.28,1.4,36.84
316,1MI$$,-2.0,19,31.58,-526.32,0.38,21.43
317,1Mo$aiC+,-0.02,5,0.0,-20.0,0.0,0.0
318,1MoreTime33,-3.33,235,21.89,-70.85,0.95,26.09
319,1moretry83,-0.87,6,83.33,-725.0,1.33,50.0
320,1mPalaShoy,-1.6,1,100.0,-8000.0,1.0,50.0
321,1no4ka_WoT_1985,-1.83,153,51.63,-59.8,1.93,48.65
322,1NowOrNever1,-1.08,38,28.95,-142.11,1.0,16.67
323,1officialg,1.14,14,64.29,407.14,4.0,60.0
324,1Paaanda,-2.51,774,24.12,-16.21,1.66,47.16
325,1Payou,-2.58,99,31.63,-130.3,1.23,36.36
326,1Phil2,-4.58,163,49.07,-140.49,1.09,33.03
327,1piksel,-0.55,8,37.5,-343.75,2.0,66.67
328,1Pinkbelly,-0.01,41,48.78,-1.22,9.0,52.94
329,1QBB,-1.17,62,36.07,-94.35,1.6,28.57
330,1rePavlic,-1.08,313,22.68,-17.25,4.36,50.53
331,1RussiaPenza,0.83,16,75.0,259.37,3.0,70.59
332,1Sam1Gold0,0.71,21,90.48,169.05,3.0,50.0
333,1slavon4ik1,0.24,217,29.49,5.53,3.0,36.49
