,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
14505,juiccyc,-3.15,643,54.38,-24.49,2.4,50.18
14541,jumbo17560,-3.77,506,64.03,-37.25,1.8,39.24
14662,K.Sound,-8.96,606,60.2,-73.93,1.03,31.91
14685,k4n-aggl,-19.61,673,65.57,-145.69,0.68,27.86
14720,Kadinhodotrevo,-3.26,810,44.73,-20.12,1.26,35.15
14744,Kainick,-15.33,512,62.75,-149.71,0.61,23.27
14755,kajoope,-33.39,2740,56.15,-60.93,0.75,24.62
14790,kalita-1,-41.17,15839,41.13,-13.0,0.72,24.99
14804,Kalugargadze,-5.44,778,49.94,-34.96,0.79,28.75
14876,kar@asik1961,-8.66,2137,41.53,-20.26,1.57,44.16
14905,Karlov82,-5.55,553,40.91,-50.18,2.44,51.94
14914,karol2222,-20.81,925,69.72,-112.49,0.65,28.29
14965,Katala19993,-27.68,1126,66.76,-122.91,3.73,63.32
14973,katina1957,-30.88,1107,78.2,-139.48,0.39,17.15
14977,KATOK204,-14.37,510,90.51,-140.88,1.32,38.77
15027,kazak811,-4.01,582,40.97,-32.73,1.23,38.34
15091,ken3080,-2.49,1906,60.3,-6.53,1.52,43.0
15097,KenFAH,-5.95,650,48.0,-45.77,0.46,19.36
15123,kentucky9393,-2.8,866,50.41,-16.17,1.37,42.63
15136,KerleiBR,-19.05,1261,52.67,-75.54,2.09,49.88
15173,Kevinaki,-1.54,644,40.19,-11.96,0.75,20.98
15207,khaid88,-12.53,608,51.5,-102.22,1.17,44.73
15241,kicsimarika2,5.89,826,49.69,35.65,1.33,38.68
15297,KILLER_WHALE_18,-7.96,2409,58.63,-16.52,1.24,29.54
15431,Kishkol,-11.97,1235,41.1,-48.46,3.21,56.84
15435,kissmybootie,3.83,1512,43.93,12.67,1.38,42.2
15487,KlaineMieZZ,-14.03,1672,44.26,-41.96,2.15,40.66
15505,kleszczuElo,-6.03,736,62.99,-40.96,1.36,29.78
